" Monthly averaged cdata for station MLO       
"
""
" /data/instrument/database_active//curves///mloc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1998,  2,        0, 1998.1260,   365.99,   365.11,     366.04,   365.16,     365.99,   365.11
1998,  3,        0, 1998.2027,   366.61,   365.07,     366.94,   365.40,     366.61,   365.07
1998,  4,        0, 1998.2877,   368.37,   365.60,     368.42,   365.66,     368.37,   365.60
1998,  5,        0, 1998.3699,   369.22,   365.87,     369.25,   365.91,     369.22,   365.87
1998,  6,        0, 1998.4548,   368.56,   366.17,     368.55,   366.16,     368.56,   366.17
1998,  7,        0, 1998.5370,   367.84,   367.39,     366.85,   366.40,     367.84,   367.39
1998,  8,        0, 1998.6219,   364.51,   366.42,     364.72,   366.63,     364.51,   366.42
1998,  9,        0, 1998.7068,   363.93,   367.50,     363.29,   366.85,     363.93,   367.50
1998, 10,        0, 1998.7890,   363.97,   367.38,     363.63,   367.05,     363.97,   367.38
1998, 11,        0, 1998.8740,   365.67,   367.69,     365.21,   367.23,     365.67,   367.69
1998, 12,        0, 1998.9562,   367.50,   368.18,     366.72,   367.40,     367.50,   368.18
1999,  1,        0, 1999.0411,   367.70,   367.39,     367.87,   367.56,     367.70,   367.39
1999,  2,        0, 1999.1260,   368.38,   367.51,     368.59,   367.71,     368.38,   367.51
1999,  3,        0, 1999.2027,   368.51,   366.97,     369.38,   367.84,     368.51,   366.97
1999,  4,        0, 1999.2877,   370.91,   368.14,     370.74,   367.98,     370.91,   368.14
1999,  5,        0, 1999.3699,   370.79,   367.45,     371.45,   368.11,     370.79,   367.45
1999,  6,        0, 1999.4548,   370.27,   367.88,     370.63,   368.24,     370.27,   367.88
1999,  7,        0, 1999.5370,   369.75,   369.29,     368.81,   368.36,     369.75,   369.29
1999,  8,        0, 1999.6219,   366.90,   368.82,     366.57,   368.48,     366.90,   368.82
1999,  9,        0, 1999.7068,   365.20,   368.76,     365.03,   368.60,     365.20,   368.76
1999, 10,        0, 1999.7890,   365.29,   368.71,     365.29,   368.70,     365.29,   368.71
1999, 11,        0, 1999.8740,   366.46,   368.49,     366.79,   368.81,     366.46,   368.49
1999, 12,        0, 1999.9562,   368.21,   368.88,     368.24,   368.92,     368.21,   368.88
2000,  1,        0, 2000.0410,   369.72,   369.41,     369.33,   369.02,     369.72,   369.41
2000,  2,        0, 2000.1257,   369.77,   368.89,     370.01,   369.13,     369.77,   368.89
2000,  3,        0, 2000.2049,   370.84,   369.27,     370.80,   369.23,     370.84,   369.27
2000,  4,        0, 2000.2896,   372.27,   369.47,     372.13,   369.34,     372.27,   369.47
2000,  5,        0, 2000.3716,   372.00,   368.66,     372.79,   369.45,     372.00,   368.66
