" Monthly averaged odata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1998,  3,        0, 1998.2027,  -172.70,  -201.34,    -168.46,  -197.10,    -172.70,  -201.34
1998,  4,        0, 1998.2877,  -176.03,  -194.86,    -180.15,  -198.97,    -176.03,  -194.86
1998,  5,        0, 1998.3699,  -194.15,  -201.23,    -193.74,  -200.83,    -194.15,  -201.23
1998,  6,        0, 1998.4548,  -206.85,  -202.27,    -207.37,  -202.78,    -206.85,  -202.27
1998,  7,        0, 1998.5370,  -219.90,  -204.88,    -219.72,  -204.70,    -219.90,  -204.88
1998,  8,        0, 1998.6219,  -233.05,  -205.59,    -234.14,  -206.68,    -233.05,  -205.59
1998,  9,        0, 1998.7068,  -245.28,  -210.75,    -243.16,  -208.63,    -245.28,  -210.75
1998, 10,        0, 1998.7890,  -241.17,  -213.14,    -238.50,  -210.48,    -241.17,  -213.14
1998, 11,        0, 1998.8740,  -221.93,  -210.67,    -223.59,  -212.34,    -221.93,  -210.67
1998, 12,        0, 1998.9562,  -208.13,  -216.80,    -205.41,  -214.07,    -208.13,  -216.80
1999,  1,        0, 1999.0411,  -185.60,  -212.29,    -189.09,  -215.78,    -185.60,  -212.29
1999,  2,        0, 1999.1260,  -188.44,  -221.49,    -184.36,  -217.41,    -188.44,  -221.49
1999,  3,        0, 1999.2027,  -195.25,  -223.89,    -190.16,  -218.81,    -195.25,  -223.89
1999,  4,        0, 1999.2877,  -195.87,  -214.69,    -201.46,  -220.28,    -195.87,  -214.69
1999,  5,        0, 1999.3699,  -216.96,  -224.04,    -214.59,  -221.67,    -216.96,  -224.04
1999,  6,        0, 1999.4548,  -224.57,  -219.99,    -227.68,  -223.10,    -224.57,  -219.99
1999,  7,        0, 1999.5370,  -241.11,  -226.09,    -239.51,  -224.49,    -241.11,  -226.09
1999,  8,        0, 1999.6219,  -254.30,  -226.83,    -253.41,  -225.95,    -254.30,  -226.83
1999,  9,        0, 1999.7068,  -257.72,  -223.19,    -261.99,  -227.46,    -257.72,  -223.19
1999, 10,        0, 1999.7890,  -251.99,  -223.97,    -257.01,  -228.99,    -251.99,  -223.97
